date,G,ratio
2021-07-01,0,0.016220294228592985
2021-07-01,1,0.02550010991426687
2021-07-01,2,0.05702436495593572
2021-07-01,3,0.12469437652811735
2021-07-01,4,0.021969080553295363
2021-07-01,5,0.0009332711152589826
2021-07-01,6,0.03268551236749116
2021-07-01,7,0.0
2021-07-01,8,0.01443620756925478
2021-07-01,9,0.029411764705882356
2021-07-01,10,0.01071630005640158
2021-07-01,11,0.03230403800475059
2021-07-01,12,0.17316017316017315
2021-07-01,13,0.020891364902506964
2021-07-01,14,0.013073882639100032
2021-07-01,15,0.0
2021-07-01,16,-0.12394366197183099
2021-07-01,17,0.07649253731343283
2021-07-01,18,0.0009276437847866419
2021-07-01,19,0.04081632653061224
2021-07-01,20,0.046468401486988845
2021-07-01,21,0.016284680337756336
2021-07-01,22,0.0
2021-07-01,23,0.00911854103343465
2021-07-01,24,0.0
2021-07-01,25,0.00042444821731748726
2021-07-01,26,0.01056338028169014
2021-07-01,27,0.03322615219721329
2021-07-01,28,0.011749347258485641
2021-07-01,29,0.042414355628058724
2021-07-02,0,0.01419950301739439
2021-07-02,1,0.02472647702407002
2021-07-02,2,0.05522143247676326
2021-07-02,3,0.23933649289099523
2021-07-02,4,0.023717595146166576
2021-07-02,5,0.0009312070771737864
2021-07-02,6,0.03035413153456998
2021-07-02,7,0.0
2021-07-02,8,0.014861165428236215
2021-07-02,9,0.03582554517133956
2021-07-02,10,0.009956355701036552
2021-07-02,11,0.029527559055118113
2021-07-02,12,0.19736842105263155
2021-07-02,13,0.02107191937700412
2021-07-02,14,0.01460634128963306
2021-07-02,15,0.0
2021-07-02,16,0.2080745341614907
2021-07-02,17,0.07376283846872082
2021-07-02,18,0.0
2021-07-02,19,0.0392156862745098
2021-07-02,20,0.040892193308550186
2021-07-02,21,0.01681159420289855
2021-07-02,22,0.0
2021-07-02,23,0.009022556390977442
2021-07-02,24,0.0
2021-07-02,25,0.0002813731007315701
2021-07-02,26,0.011904761904761906
2021-07-02,27,0.0400890868596882
2021-07-02,28,0.015214384508990318
2021-07-02,29,0.04492512479201331
2021-07-03,0,0.012181069958847737
2021-07-03,1,0.023566734647631992
2021-07-03,2,0.05637982195845697
2021-07-03,3,0.21097046413502107
2021-07-03,4,0.0224
2021-07-03,5,0.0008761682242990654
2021-07-03,6,0.030330062444246207
2021-07-03,7,0.0
2021-07-03,8,0.015005771450557906
2021-07-03,9,0.04291044776119403
2021-07-03,10,0.00974025974025974
2021-07-03,11,0.028191489361702127
2021-07-03,12,0.19999999999999998
2021-07-03,13,0.021411192214111925
2021-07-03,14,0.015318845742785893
2021-07-03,15,0.0
2021-07-03,16,0.2542372881355932
2021-07-03,17,0.07093596059113301
2021-07-03,18,-0.007469654528478057
2021-07-03,19,0.037800687285223365
2021-07-03,20,0.044956140350877194
2021-07-03,21,0.01694915254237288
2021-07-03,22,0.0
2021-07-03,23,0.008928571428571428
2021-07-03,24,0.0
2021-07-03,25,0.0002813731007315701
2021-07-03,26,0.010471204188481674
2021-07-03,27,0.04114285714285715
2021-07-03,28,0.012987012987012986
2021-07-03,29,0.04455445544554456
2021-07-04,0,0.010390428211586901
2021-07-04,1,0.024619840695148446
2021-07-04,2,0.05500982318271119
2021-07-04,3,0.17765567765567766
2021-07-04,4,0.02251898402723226
2021-07-04,5,0.0008230936562996061
2021-07-04,6,0.026654411764705885
2021-07-04,7,0.0
2021-07-04,8,0.015776699029126214
2021-07-04,9,0.043307086614173235
2021-07-04,10,0.009899548697044692
2021-07-04,11,0.02759381898454746
2021-07-04,12,0.21047619047619046
2021-07-04,13,0.0197869101978691
2021-07-04,14,0.01460634128963306
2021-07-04,15,0.0
2021-07-04,16,0.25449101796407186
2021-07-04,17,0.07567567567567568
2021-07-04,18,-0.015444015444015444
2021-07-04,19,0.03985507246376812
2021-07-04,20,0.04057017543859649
2021-07-04,21,0.016443361753958587
2021-07-04,22,0.0
2021-07-04,23,0.010606060606060607
2021-07-04,24,0.0
2021-07-04,25,0.0
2021-07-04,26,0.010398613518197574
2021-07-04,27,0.03329369797859691
2021-07-04,28,0.013550135501355013
2021-07-04,29,0.03993055555555555
2021-07-05,0,0.010885999395222255
2021-07-05,1,0.02298578199052133
2021-07-05,2,0.052119527449617786
2021-07-05,3,0.1410459587955626
2021-07-05,4,0.021997786386275593
2021-07-05,5,0.0007093456286575634
2021-07-05,6,0.02297794117647059
2021-07-05,7,0.0
2021-07-05,8,0.015625
2021-07-05,9,0.043307086614173235
2021-07-05,10,0.009899548697044692
2021-07-05,11,0.02941176470588235
2021-07-05,12,0.2130822596630327
2021-07-05,13,0.0197869101978691
2021-07-05,14,0.013537584609903812
2021-07-05,15,0.0
2021-07-05,16,0.34274193548387094
2021-07-05,17,0.06542056074766356
2021-07-05,18,-0.015458937198067632
2021-07-05,19,0.043137254901960784
2021-07-05,20,0.03179824561403509
2021-07-05,21,0.016443361753958587
2021-07-05,22,0.0
2021-07-05,23,0.01288244766505636
2021-07-05,24,0.0
2021-07-05,25,0.0
2021-07-05,26,0.010434782608695651
2021-07-05,27,0.03486924034869241
2021-07-05,28,0.010840108401084009
2021-07-05,29,0.03888888888888888
2021-07-06,0,0.013021604024859426
2021-07-06,1,0.022190745986779985
2021-07-06,2,0.054004854368932036
2021-07-06,3,0.1965065502183406
2021-07-06,4,0.020855057351407715
2021-07-06,5,0.0007058823529411764
2021-07-06,6,0.017543859649122806
2021-07-06,7,0.0
2021-07-06,8,0.015202702702702704
2021-07-06,9,0.043307086614173235
2021-07-06,10,0.008940600122473974
